"NAME","CASE","HOSP","DEATH","Cleaders","REG1","REG","C10","RCASE","RHOSP","RDEATH"
"Perry",1137,67,14,"CL","Appalachia","South East",36058,3153.25309224028,185.811747739753,38.826335348605
"Pickaway",4484,186,50,"OH","Suburban","Central",55698,8050.55836834357,333.943768178391,89.7698301554813
"Pike",994,88,3,"CL","Appalachia","South East",28709,3462.32888641193,306.52408652339,10.4496847678428
"Portage",4626,272,77,"OH","Suburban","North East",161419,2865.83363792366,168.505566259238,47.7019433895638
"Preble",1875,155,22,"OH","Rural","West",42270,4435.77004968062,366.690324106932,52.0463685829193
"Putnam",2541,170,57,"OH","Rural","North West",34499,7365.43088205455,492.767906316125,165.222180353054
"Richland",4390,305,46,"OH","Metro","North East",124475,3526.81261297449,245.029122313718,36.9552118899377
"Ross",2872,281,66,"CL","Appalachia","South East",78064,3679.03258864521,359.961057593769,84.5460135273622
"Sandusky",1994,169,35,"OH","Rural","North West",60944,3271.85613021791,277.303754266212,57.4297715935941
"Scioto",2568,201,24,"CL","Appalachia","South East",79499,3230.22931106052,252.833368973195,30.189058981874
"Seneca",2180,140,21,"OH","Rural","North West",56745,3841.74817164508,246.717772490968,37.0076658736453
"Shelby",2323,94,18,"OH","Rural","West",49423,4700.24077858487,190.194848552293,36.4202901483115
"Stark",12327,757,238,"OH","Metro","North East",375586,3282.07121671202,201.551708530137,63.3676441613905
"Summit",17456,1552,399,"OH","Metro","North East",541781,3221.9660711616,286.462611276512,73.6459934918353
"Trumbull",7176,591,162,"OH","N Appalachia","North East",210312,3412.07349081365,281.011069268515,77.0284149263951
"Tuscarawas",4249,378,83,"CL","N Appalachia","North East",92582,4589.44503251172,408.286707999395,89.6502559892852
"Union",2452,89,14,"OH","Suburban","Central",52300,4688.33652007648,170.172084130019,26.7686424474187
"Van Wert",1164,50,18,"OH","Rural","North West",28744,4049.54077372669,173.949345950459,62.6217645421653
"Vinton",330,33,6,"CL","Appalachia","South East",13435,2456.27093412728,245.627093412728,44.6594715295869
"Warren",10393,417,86,"OH","Rural","South West",212693,4886.38554160222,196.057228023489,40.4338647722304
"Washington",1790,103,29,"CL","Appalachia","South East",61778,2897.47159182881,166.726018971155,46.9422771860533
"Wayne",4027,240,116,"OH","Rural","North East",114520,3516.4163464897,209.570380719525,101.292350681104
"Williams",1407,85,12,"OH","Rural","North West",37642,3737.84602305935,225.811593432868,31.8792837787578
"Wood",5694,347,114,"OH","Suburban","North West",125488,4537.48565599898,276.520464108122,90.8453397934464
"Wyandot",929,70,20,"OH","Rural","North West",22615,4107.8929913774,309.529073623701,88.4368781782003
